ETF Ticker,Name,Sector,Asset Class,Weight (%),Location,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.15,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA PEOPLES REPUBLIC OF (GOVERNM,Treasury,Fixed Income,0.15,China,,,,,,,,,,,,,,,,,,,,
IAGG,ITALY (REPUBLIC OF),Treasury,Fixed Income,0.15,Italy,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.15,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 2YR #425,Treasury,Fixed Income,0.15,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.15,France,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.15,France,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.15,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA PEOPLES REPUBLIC OF (GOVERNM,Treasury,Fixed Income,0.14,China,,,,,,,,,,,,,,,,,,,,
IAGG,GERMANY (FEDERAL REPUBLIC OF) RegS,Treasury,Fixed Income,0.14,Germany,,,,,,,,,,,,,,,,,,,,
IAGG,CANADA (GOVERNMENT OF),Treasury,Fixed Income,0.14,Canada,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.14,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,SPAIN (KINGDOM OF),Treasury,Fixed Income,0.14,Spain,,,,,,,,,,,,,,,,,,,,
IAGG,FRANCE (REPUBLIC OF) RegS,Treasury,Fixed Income,0.14,France,,,,,,,,,,,,,,,,,,,,
IAGG,CHINA PEOPLES REPUBLIC OF (GOVERNM,Treasury,Fixed Income,0.14,China,,,,,,,,,,,,,,,,,,,,
IAGG,JAPAN (GOVERNMENT OF) 10YR #356,Treasury,Fixed Income,0.14,Japan,,,,,,,,,,,,,,,,,,,,
IAGG,UK CONV GILT RegS,Treasury,Fixed Income,0.14,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,SPAIN (KINGDOM OF),Treasury,Fixed Income,0.14,Spain,,,,,,,,,,,,,,,,,,,,
IAGG,EXPORT-IMPORT BANK OF CHINA,Government Related,Fixed Income,0.14,China,,,,,,,,,,,,,,,,,,,,
IAGG,UNITED KINGDOM OF GREAT BRITAIN AN RegS,Treasury,Fixed Income,0.14,United Kingdom,,,,,,,,,,,,,,,,,,,,
IAGG,ITALY (REPUBLIC OF) RegS,Treasury,Fixed Income,0.14,Italy,,,,,,,,,,,,,,,,,,,,
