,Mini Robo Advisors Ultra Conserative Portfolio,Mini Robo Advisors Conserative Portfolio,Mini Robo Advisors Balanced Income Portfolio,Mini Robo Advisors Balanced Growth Portfolio,Mini Robo Advisors Moderate Growth Portfolio,Mini Robo Advisors Aggressive Portfolio,Mini Robo Advisors Ultra Aggressive Portfolio
25000,25226.925,25568.375,25934.675,26687.275,27375.125,26628.675,27880.325
25000,25231.9,25595.125,25992.575,26650.475,27326.225,26610.9,27830.525
25000,25247.275,25624.375,26042.925,26617.125,27282.5,26676.65,27803.325
25000,25257.7,25657.4,26038.325,26574.775,27324.675,26772.775,27886.15
25000,25260.725,25635.275,26023.1,26534.275,27339.175,26813.225,27880.65
25000,25278.8,25636,26006.675,26508.625,27344.575,26778.425,27948.15
25000,25281.925,25631.325,26000.5,26457.25,27339.95,26841.625,28025.7
25000,25270.625,25654.6,25993.3,26425.025,27353.575,26868.4,28022.4
25000,25276.275,25655.05,26037.3,26438.2,27307.85,26910.475,27975.125
25000,25296.35,25670.25,26093.625,26434.05,27283.175,26901.225,28012.75
25000,25321.825,25686.9,26113.5,26379.75,27290.075,26923.9,28003.175
25000,25336.35,25678.7,26161.225,26353.55,27334.35,26917.05,27933.025
25000,25340.5,25663.5,26127.675,26353.925,27328.95,26910.775,27851.725
25000,25334.7,25682.775,26139.2,26365.175,27352.9,26835.75,27875.925
25000,25324.1,25657.95,26127.4,26297.25,27362.8,26896.825,27880.15
25000,25312.425,25666.675,26129.2,26308,27323.675,26946.1,27922.775
25000,25314.325,25654.375,26118.075,26355.175,27301.975,27014.85,27873.75
25000,25312.1,25638.575,26161.75,26326.975,27319.5,26999.475,27853.35
25000,25335.55,25652.275,26145.2,26343.2,27325.075,27093,27848.5
25000,25347,25718.225,26134,26328.075,27347,27104,27870.45
25000,25344.1,25690.5,26136.95,26384.975,27366.525,27084.375,27915.2
25000,25345.225,25726.2,26174.5,26399.675,27312.925,27082.325,27912.7
25000,25353.425,25725.575,26193,26417.65,27326.25,27142.375,27975.825
25000,25335.925,25735.225,26223.975,26477.575,27334.175,27175.95,28074.2
25000,25345.225,25730.7,26287.15,26530.475,27435.05,27147.975,28066.35
25000,25364.8,25759.85,26319.725,26560.25,27431.5,27194.4,28154.45
25000,25349.85,25775.075,26347.175,26578.1,27453.15,27283,28189.6
25000,25346.375,25754.9,26405.55,26586.15,27514.45,27298.1,28236.075
25000,25353.9,25773.375,26402.85,26564.3,27599.825,27344.675,28196.325
25000,25377.225,25776.55,26416.125,26569.025,27558.675,27219.45,28185.3
25000,25381.275,25803.325,26435.375,26596.825,27612.75,27266.875,28257.625
25000,25392.725,25796.35,26537.875,26597.65,27606.3,27352.7,28225.25
25000,25384.3,25818.975,26489.175,26609.4,27585.475,27314.65,28200.1
25000,25378.175,25831.8,26542.65,26580.925,27591.9,27385.1,28138.675
25000,25375.2,25823.55,26571.775,26615.7,27520.275,27375.8,28080.775
25000,25378.725,25834.65,26560.175,26658.55,27465.5,27352.75,28093.725
25000,25363.45,25861.4,26509.45,26716.65,27499.425,27347.725,28158.125
25000,25367.9,25854.15,26509.575,26690.975,27554.925,27325.575,28151.1
25000,25375.225,25825.65,26537.85,26670.1,27593.325,27345.5,28223.7
25000,25375.95,25844.975,26568.3,26690.35,27605.525,27427.125,28216.15
25000,25389.4,25859.275,26566.85,26698.7,27683.025,27347.45,28129.75
25000,25383.325,25857.8,26601.775,26680.175,27754.15,27346.1,28151.375
25000,25393.2,25857.5,26597.15,26689.325,27776.775,27379.225,28119.5
25000,25387.45,25863.875,26644.725,26696.125,27886.075,27290.125,28156.75
25000,25396.8,25853.45,26650.075,26668.15,27863.85,27323.075,28144.2
25000,25430.75,25856.025,26700.875,26595.25,27828.15,27435.375,28226.675
25000,25435.65,25837.95,26698.125,26631.075,27866.3,27424.025,28392.275
25000,25449.275,25834.875,26814.05,26640.85,27876.65,27469.3,28417.225
25000,25449.325,25825.5,26840.225,26648.175,27924.725,27477.7,28422.15
25000,25452.55,25836.45,26802.35,26665.525,27966.5,27506.45,28441.05
25000,25448.85,25817.15,26834.575,26699.35,27959.475,27539.9,28466.675
25000,25442.025,25821.775,26874.5,26661.475,27916.525,27638.15,28442.575
25000,25434.075,25821.425,26844.4,26720.475,27839.15,27638.475,28528.225
25000,25421.9,25864.625,26861.45,26757.1,27904.625,27620.325,28512.875
25000,25427.65,25852.125,26830.4,26787.425,27903.1,27671.6,28498.175
25000,25438.35,25834,26840.325,26759.75,27888.5,27565.275,28519.525
25000,25441.3,25856.175,26844.85,26759.425,27856.8,27489.25,28463.725
25000,25447.4,25844.4,26873.525,26795.25,27920.475,27496.325,28410.5
25000,25417.7,25852.025,26864.575,26718.925,27895.425,27502.425,28498.175
25000,25423.025,25852.825,26853.45,26693.9,27917.275,27484.45,28548.775
25000,25409.775,25848.425,26883.325,26671.225,27839.975,27490.55,28670.175
25000,25385.15,25835.975,26882.25,26711.9,27932.2,27547.45,28748.025
25000,25375,25846.5,26829.025,26735.875,27906.525,27537.25,28869.4
25000,25377.975,25854.65,26802.2,26685.9,27889.825,27667.05,28827.525
25000,25378.125,25824.2,26804.275,26704.675,27882.825,27661.35,28840.75
25000,25397.975,25846.625,26791.1,26732.125,27886.35,27635.475,28866.7
25000,25417.35,25810.275,26771.825,26735.675,27918.15,27637.175,28877.025
25000,25435.35,25814.1,26837.175,26739.3,27948.8,27679.025,28911.3
25000,25438.15,25788,26850.65,26795,27954.325,27682.65,28795.325
25000,25447.725,25774.5,26827.9,26834.9,27971.3,27795.5,28855.525
25000,25446.4,25780.775,26919.65,26788.15,27999.3,27819.175,28832.125
25000,25454.75,25779.175,26945.75,26818.575,27936.9,27753.475,28822.75
25000,25439.55,25761.25,26895.125,26830.25,27915.525,27771.7,28834.8
25000,25445.625,25763.05,26895.375,26801.575,27982.95,27759.975,28806.575
50000,50000,50000,50000,50000,50000,50000,50000
50000,49967.4,49980.6,49939.55,49923.35,50051.5,50060.1,50130.65
50000,49990.25,50013.9,49870.15,49947.95,50164.95,50099.35,49916.35
50000,50032.9,49976.2,49839.45,50071.55,50224.15,50178.8,49761
50000,49995.75,50011.75,49797,50177.85,50257.8,50206.75,49890.8
50000,49987.75,50061.25,49808.95,50259.7,50256.8,50247.85,49865.55
50000,49989.45,50011.5,49785.3,50389.4,50343.8,50344.75,49981.7
50000,49984.6,50022.4,49779.55,50464.1,50300.4,50415.75,49880.9
50000,50031.85,50022.55,49784.2,50495.3,50354.5,50324,49995.7
50000,50060.05,49997.65,49848.9,50444.45,50474.1,50286.5,50055
50000,50078.15,50030.15,49788.25,50598.95,50386.35,50279.75,50195.65
50000,50071.55,50017.2,49811.2,50715.5,50360.4,50349,50197.35
50000,50104.3,50051.2,49876.85,50741.05,50422.65,50235.2,50274.15
